,player_id,Player,IPL Team Key,Score
0,219889,DA Warner,107,30
1,422108,KL Rahul,101,30
2,379143,Q de Kock,101,30
3,28235,S Dhawan,101,30
4,276298,AD Russell,101,30
5,51880,CH Gayle,101,20
6,931581,RR Pant,101,20
7,253802,V Kohli,100,20
8,642519,SS Iyer,101,20
9,297433,JM Bairstow,107,20
10,44936,AB de Villiers,100,20
11,446507,SA Yadav,101,20
12,28081,MS Dhoni,102,20
13,34102,RG Sharma,101,20
14,326637,CA Lynn,101,20
15,625371,HH Pandya,101,20
16,8180,SR Watson,102,10
17,44828,F du Plessis,102,10
18,277916,AM Rahane,106,10
19,33335,SK Raina,102,10
20,32242,PA Patel,100,10
21,1070168,PP Shaw,101,10
22,290630,MK Pandey,107,10
23,604527,N Rana,101,10
24,425943,SV Samson,106,10
25,398438,MA Agarwal,101,10
26,267192,SPD Smith,106,10
27,308967,JC Buttler,106,10
