,player_id,Player,Score
0,625383,JJ Bumrah,20
1,277912,TA Boult,20
2,550215,K Rabada,20
3,481979,A Nortje,20
4,430246,YS Chahal,20
5,481896,Mohammed Shami,20
6,669855,JC Archer,20
7,942645,KK Ahmed,10
8,1108375,CV Varun,10
9,793463,Rashid Khan,10
10,1064812,RD Chahar,10
16,662973,SM Curran,10
15,439952,CH Morris,10
14,26421,R Ashwin,10
13,325012,MP Stoinis,10
12,236779,I Sharma,10
11,326016,B Kumar,10
17,1175441,Ravi Bishnoi,10
18,438362,Sandeep Sharma,10
19,447261,DL Chahar,10
20,489889,PJ Cummins,10
21,31107,A Mishra,10
22,439952,CH Morris,10
23,940973,Mohammed Siraj,10
24,272465,JL Pattinson,10
25,475281,SN Thakur,10
26,344580,S Gopal,10
27,423838,R Tewatia,10
